Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2024 Volkswagen Taos 1.5T SE,28500,9146,Bredemann Toyota/Scion,4.8,"Park Ridge, IL (16 mi.)",4551
2013 Rolls-Royce Phantom VI,145995,15851,Pro Cars USA Inc,4.3,"Alsip, IL (16 mi.)",22
2006 Mazda RX-8 Base,11495,57950,OKAZ MOTORS,0.0,"Elmhurst, IL (17 mi.)",157
2024 Ford Transit-250,50295,0,Bredemann Ford,4.5,"Glenview, IL (17 mi.)",595
2024 Lexus IS 500 F SPORT Performance Premium,68230,0,Fields Lexus Glenview,4.8,"Glenview, IL (17 mi.)",2765
2008 Volvo XC70 3.2,4995,167025,Cars147.com,3.8,"Midlothian, IL (19 mi.)",56
2015 BMW 428 i xDrive,15985,98508,Star Motor Sales,4.5,"Downers Grove, IL (21 mi.)",219
2009 Toyota Prius Base,8995,108330,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars",4.8,"Tinley Park, IL (22 mi.)",275
2024 Audi RS 7 4.0T Performance,165145,0,The Audi Exchange,4.5,"Highland Park, IL (24 mi.)",993
2016 Mercedes-Benz AMG E S 4MATIC,34995,61025,Auto Showcase of Carol Stream,4.1,"Carol Stream, IL (24 mi.)",80
2012 Porsche Cayenne Hybrid S,16785,58262,Lux Cars Chicago,4.5,"Buffalo Grove, IL (25 mi.)",179
2019 Buick Regal TourX Essence,23998,46841,CarMax Schaumburg,3.5,"Schaumburg, IL (26 mi.)",42
2024 Audi e-tron GT Prestige,127540,0,Audi Hoffman Estates,4.7,"Hoffman Estates, IL (27 mi.)",5504
2013 Maserati GranTurismo Sport,30449,51161,Auto's of Chicago,4.0,"Arlington Heights, IL",83
2024 Chevrolet Silverado 1500 PPV POLICE W/ FENIEX RED/WHITE/AMBER LIGHTS AND EQ,59995,3158,Chicago Motors Inc.,0.0,"Chicago, IL (3 mi.)",58
2017 Ford Edge Titanium,14495,99066,Baha Auto Sales,0.0,"Chicago, IL (6 mi.)",47
2019 Honda HR-V Sport,18995,50662,High Quality Auto Group,0.0,"Chicago, IL (6 mi.)",0
2020 Hyundai IONIQ Hybrid SE,18998,50729,CarMax Huntsville,0.0,Location not found,4
2021 Hyundai Accent SE,13500,62664,Ed Napleton Honda,4.9,"Oak Lawn, IL (13 mi.)",2503
2018 Buick Regal Sportback Preferred,17900,39008,Webb Chevy,4.7,"Oak Lawn, IL (13 mi.)",2209
2024 Toyota Prius Prime SE,40998,123,CarMax Bakersfield,0.0,Location not found,4
1999 Ford Windstar SE,10888,39074,The Eclectic Garage,5.0,"Bensenville, IL (18 mi.)",5
2002 Buick Park Avenue Sedan,7495,121205,Burr Ridge Motor Sales,0.0,"Burr Ridge, IL (18 mi.)",4
2013 Acura TSX Technology,11690,112993,Coda Motors,1.7,"Burr Ridge, IL (19 mi.)",96
2025 Cadillac CT4-V V-Series,56435,0,"Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",0.0,"Northbrook, IL (21 mi.)",285
2024 Genesis G80 3.5T,58999,2723,Genesis of Schaumburg,0.0,"SCHAUMBURG, IL (25 mi.)",1
2021 Mercedes-Benz GLC 300 4MATIC,33149,32539,Gravity Autos Chicago,4.5,"Highland Park, IL (25 mi.)",16
2019 Kia Optima LX,14400,67449,Webb Ford,4.0,"Highland, IN (26 mi.)",441
2010 Lotus Exige S 240,110000,7637,Blackdog Performance Cars,0.0,"Lincolnshire, IL (26 mi.)",0
2024 Lexus TX 500h F SPORT Performance,84995,4914,Woodfield Lexus,4.9,"Schaumburg, IL (26 mi.)",2321
1984 Jeep CJ-7 Hard Top,23950,134722,Frankfort Auto Haus,0.0,"Frankfort, IL (27 mi.)",106
2011 Cadillac CTS-V Base,31995,59254,Schererville Auto Sales,0.0,"Schererville, IN (29 mi.)",2
2018 Volkswagen Tiguan 2.0T SE 4MOTION,17895,57415,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2017 Toyota Camry LE,14999,91766,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2015 Cadillac CTS-V Base,62900,11063,Gold Coast Motors,0.0,"Naperville, IL (30 mi.)",73
2019 Ferrari Portofino Base,239900,2338,Lake Forest Sports Cars,0.0,"Lake Bluff, IL (30 mi.)",6
2012 Aston Martin DB9 Volante,70455,20038,Auto's of Chicago,4.0,"Arlington Heights, IL",83
2012 Acura TSX 2.4,11991,121856,Toyota of Lincoln Park,2.9,"Chicago, IL (3 mi.)",423
2023 Nissan Kicks SR,21930,15039,McGrath City Hyundai,4.0,"Chicago, IL (9 mi.)",3042
2014 Ford Fusion Energi SE Luxury,7800,107439,Capital Auto Finance,0.0,"Bridgeview, IL (12 mi.)",5
2017 Volkswagen Beetle S,19998,35950,CarMax Rochester,0.0,Location not found,6
2013 Acura TSX 2.4,10995,93508,Webb Chevy,4.7,"Oak Lawn, IL (13 mi.)",2209
2021 Chevrolet Equinox 1LT,20495,57392,Baha Auto Group Inc.,0.0,"Burbank, IL (13 mi.)",32
2023 Chevrolet Equinox 1LT,22995,16117,Baha Auto Group Inc.,0.0,"Burbank, IL (13 mi.)",32
2015 Nissan Frontier SV,19998,96715,CarMax Hillside (Eisenhower Expy),0.0,"Hillside, IL (14 mi.)",14
2017 Buick Enclave Leather,22998,41024,CarMax Oak Lawn,0.0,"Oak Lawn, IL (14 mi.)",11
